RX Date/Time,Left Hip Yaw(field 1),Left Hip Roll(field 2),Left Hip Pitch(field 3),Left Knee Pitch(field 4),Left Ankle Pitch(field 5),Right Hip Yaw(field 6),Right Hip Roll(field 7),Right Hip Pitch(field 8),Right Knee Pitch(field 9),Right Ankle Pitch(field 10)
2025/04/01/ 21:40:20::816,0.026751,2.609929,0.269296,1.145536,-2.048763,0.050249,-1.262882,0.305861,-0.540771,-0.11865
2025/04/01/ 21:40:20::928,0.144132,2.014032,0.076559,0.882957,-2.103807,0.041895,-1.16147,0.283765,0.200778,-0.249955
2025/04/01/ 21:40:20::929,0.248606,1.543359,0.492315,0.469496,-2.000985,0.36978,-1.324609,-0.30663,0.894269,-0.650925
2025/04/01/ 21:40:20::930,0.134961,1.252923,0.518645,0.494524,-1.867173,0.184245,-1.364316,0.29655,0.350363,-1.040738
2025/04/01/ 21:40:20::933,0.087764,1.08161,0.698678,0.144179,-1.562402,0.190776,-1.791963,-0.185196,0.589519,-1.438859
2025/04/01/ 21:40:20::978,0.081841,1.175508,0.517282,-0.012592,-1.319868,0.279821,-2.370926,-0.189949,0.77737,-1.520982
2025/04/01/ 21:40:21::051,-0.107509,1.368864,0.419194,-0.226067,-0.998437,0.259606,-3.056287,0.017684,0.882174,-1.75156
2025/04/01/ 21:40:21::052,-0.04741,1.699471,0.447234,-0.194008,-0.742341,0.300286,-3.411745,0.139291,0.873813,-1.894175
2025/04/01/ 21:40:21::116,-0.125583,2.005954,0.373434,0.163594,-0.514386,0.240653,-3.849313,0.099743,1.137041,-2.009702
2025/04/01/ 21:40:21::129,-0.170965,2.306436,0.727772,0.082203,-0.344138,0.355639,-3.935848,0.198099,1.124526,-2.095048
2025/04/01/ 21:40:21::129,-0.237452,2.409199,0.873271,0.386953,-0.299831,0.363157,-3.61009,0.183243,1.044205,-2.109018
2025/04/01/ 21:40:21::143,-0.225517,2.34757,0.83772,0.740304,-0.249624,0.32676,-3.021389,-0.058183,0.946907,-2.030806
2025/04/01/ 21:40:21::173,-0.232557,2.041414,0.91182,1.106787,-0.398224,0.318235,-2.201335,-0.225055,0.628077,-1.932642
2025/04/01/ 21:40:21::205,-0.270044,1.619628,0.961831,1.118501,-0.67007,0.238439,-1.426665,-0.342651,0.500729,-1.828637
2025/04/01/ 21:40:21::233,-0.322157,1.476928,0.795872,0.99569,-1.026068,0.101626,-1.010294,-0.295464,0.211385,-1.691667
2025/04/01/ 21:40:21::264,-0.438339,1.789307,0.640854,0.835886,-1.236383,0.007062,-0.953917,-0.155115,-0.29442,-1.399167
2025/04/01/ 21:40:21::321,-0.220449,2.135899,0.505986,1.128328,-1.351251,-0.050533,-0.977843,-0.442567,-0.502606,-1.032967
2025/04/01/ 21:40:21::340,-0.098926,2.671247,0.57904,1.284473,-1.424295,0.099558,-0.917814,-0.567352,-0.958066,-0.639317
2025/04/01/ 21:40:21::356,0.009772,3.322909,0.617132,1.387251,-1.535029,-0.01565,-1.020289,-0.587099,-1.047191,-0.414327
2025/04/01/ 21:40:21::393,0.024498,3.699758,0.607097,1.54176,-1.703754,-0.220683,-1.125577,-0.377853,-1.017199,-0.241219
2025/04/01/ 21:40:21::422,-0.004561,3.803977,0.543554,1.58988,-1.873445,0.024828,-1.274015,-0.109575,-0.811347,-0.170183
2025/04/01/ 21:40:21::471,0.021362,3.433815,0.461291,1.420242,-1.983466,0.051094,-1.346015,0.097719,-0.511815,-0.036646
2025/04/01/ 21:40:21::486,0.064342,2.708679,0.247906,1.112731,-2.064764,0.046938,-1.332727,0.2382,-0.18626,-0.056482
2025/04/01/ 21:40:21::514,0.088258,1.791305,0.168289,0.727901,-2.061235,0.145355,-1.139229,0.260119,0.364588,-0.281609
2025/04/01/ 21:40:21::559,0.107436,1.176146,0.162548,0.542313,-2.011652,0.31216,-1.065622,-0.017895,0.692419,-0.620742
2025/04/01/ 21:40:21::589,0.135379,0.993231,0.405989,0.213931,-1.83812,0.260072,-1.401559,0.093544,0.701677,-1.056922
2025/04/01/ 21:40:21::610,0.076212,0.898662,0.580926,-0.142958,-1.509793,0.197286,-1.924479,-0.007435,0.743105,-1.396986
2025/04/01/ 21:40:21::643,0.010046,0.963662,0.302035,-0.130986,-1.183073,0.316598,-2.696147,-0.012427,0.886452,-1.626555
2025/04/01/ 21:40:21::690,-0.032361,1.196241,0.215488,-0.108159,-0.8829,0.311669,-3.312666,0.271443,0.937863,-1.806535
2025/04/01/ 21:40:21::700,-0.069947,1.559423,0.45442,-0.211323,-0.641097,0.33721,-3.711452,0.355257,1.166741,-1.926348
2025/04/01/ 21:40:21::724,-0.130954,1.855909,0.451776,0.014488,-0.431825,0.408219,-3.863689,0.322112,1.413754,-2.041479
2025/04/01/ 21:40:21::775,-0.176127,2.065915,0.616013,0.270208,-0.260923,0.392314,-3.72944,0.407942,1.183169,-2.133832
2025/04/01/ 21:40:21::784,-0.150501,2.119095,0.894654,0.448388,-0.223153,0.448628,-3.19749,0.298201,1.02494,-2.170749
2025/04/01/ 21:40:21::810,-0.213439,1.975073,0.89866,0.856328,-0.32488,0.374628,-2.392622,0.000462,0.932252,-2.127443
2025/04/01/ 21:40:21::833,-0.242426,1.613499,0.880562,1.267272,-0.532992,0.292504,-1.600632,-0.256345,0.583014,-2.070627
2025/04/01/ 21:40:21::863,-0.293909,1.448691,0.805106,1.145983,-0.838234,0.134798,-1.211692,-0.207327,0.289505,-1.89178
2025/04/01/ 21:40:21::896,-0.422457,1.575991,0.682753,0.805824,-1.208586,-0.009802,-0.919781,-0.190883,0.051795,-1.64628
2025/04/01/ 21:40:21::924,-0.391849,2.100216,0.634299,0.853978,-1.353045,-0.175358,-0.904444,-0.037275,-0.456785,-1.286985
2025/04/01/ 21:40:21::954,-0.211225,2.685674,0.594643,1.253402,-1.462641,-0.042939,-0.849559,-0.289343,-0.565705,-0.902064
2025/04/01/ 21:40:21::983,-0.150108,3.171304,0.677078,1.256809,-1.649921,0.00742,-1.056546,-0.396655,-0.733363,-0.507475
